FIT101,LIT101,AIT202,AIT203,FIT201,DPIT301,FIT301,LIT301,AIT402,FIT401,LIT401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,PIT501,PIT502,PIT503,FIT601,AIT201
0.0,729.8658,9.293002,198.077423,0.00023354370000000003,1.19085729,0.000512443,730.7021,8.79518051,0.7817402,100.06280500000001,7.4896183,14.73981,1016.27789,46.0651131,0.781594455,0.3103625,0.6236277,0.2134324,167.601257,2.96350884,119.921173,0.000320379,142.527557
0.0,729.434,9.293002,240.194824,0.00023354370000000003,1.19085729,0.000512443,730.902344,8.782363,0.782380462,100.055115,7.4896183,14.73981,1016.27789,45.7575,0.7822353,0.315101832,0.6236277,0.212984011,167.601257,2.96350884,119.921173,0.000320379,142.527557
0.0,729.12,9.393618,198.4363,0.00023354370000000003,1.19085729,0.000512443,732.3443,8.779800419999999,0.7830207,100.02820000000001,7.4896183,14.73981,1016.27789,45.60369,0.7822353,0.3170232,0.6236277,0.212984011,167.601257,2.96350884,119.921173,0.00032037900000000003,142.527557
0.0,728.6882,9.289157,198.667,0.000384455,1.19085729,0.000512443,732.7048,8.769546510000001,0.7830207,100.074341,7.4896183,14.7167389,1016.27789,45.60369,0.783132553,0.3080569,0.6236277,0.212791845,167.601257,2.96350884,119.921173,0.000320379,142.527557
0.0,727.7069,9.289157,198.89772,0.00023354370000000003,1.13323522,0.000512443,100.787463,8.761856,0.781228,100.03973400000001,7.4896183,69.64881,1016.27789,45.2191734,0.7837734,0.303445637,0.6236277,0.2140089,167.601257,2.96350884,119.921173,0.000320379,142.527557
0.0,727.157349,9.289157,199.154068,0.00023345401300000002,1.19085729,0.000512443,733.9865,8.761856,0.781228,800.2948,7.4896183,14.6962311,1016.27789,45.10382,0.7839016,0.296272576,0.6236277,0.214649454,167.601257,2.96350884,119.921173,0.000320379,142.527557
0.0,726.490051,9.289157,199.282242,0.00023345401300000002,1.19085729,0.000512443,734.427063,8.761856,0.781228,999.897461,7.4896183,14.693667600000001,1016.27789,44.91156,0.7839016,0.2957602,0.6259322,0.212663725,167.601257,2.96350884,119.921173,0.000320379,142.527557
0.0,726.097534,9.289157,199.46167,0.00023345401300000002,1.19085729,0.000512443,735.228149,8.761856,0.7810999,100.00897200000001,7.4896183,14.693667600000001,1016.27789,44.91156,0.7839016,0.295375943,0.6259322,0.212663725,167.601257,2.96350884,119.921173,0.000320379,142.527557
0.0,725.7835,9.289157,199.564209,0.00023345401300000002,1.19085729,0.000512443,736.3897,8.741348,0.7804597,999.859,7.4896183,14.675724800000001,1016.27789,44.3347855,0.7839016,0.308441162,0.6264443399999999,0.211895064,167.601257,2.96350884,119.921173,0.000320379,142.527557
0.0,725.2732,9.289157,199.794922,0.00023345401300000002,1.19085729,0.000512443,736.5099,8.741348,0.7825085,999.666748,7.755896,14.6705978,1016.27789,44.3347855,0.7839016,0.316638917,0.62644434,0.212663725,167.601257,2.96350884,119.921173,0.000320379,144.033585
